Class,Genes
Skeletal,"GJA1, CX43, ODDD, SDTY3, ODOD"
multiple,"BCOR, KIAA1575, MAA2, ANOP2"
Muscular,"PABPN1, PABP2, PAB2"
Muscular,"PABPN1, PABP2, PAB2"
Bone,"ALPL, HOPS, TNSALP"
Ophthamological,SAG
Ophthamological,"RHOK, RK, GRK1"
Cancer,"PTEN, MMAC1"
Skeletal,PAX9
Cancer,AXIN2
Immunological,"DCLRE1C, ARTEMIS, SCIDA"
Immunological,RAG1
Immunological,RAG2
multiple,"MID1, OGS1, BBBG1, FXY, OSX"
Metabolic,"CYP2C, CYP2C19"
Ophthamological,"OPA1, NTG, NPG"
Ophthamological,"OPA3, MGA3"
multiple,PAX2
Ophthamological,"PAX6, AN2, MGDA"
Skeletal,"OFD1, CXorf5"
Metabolic,OTC
Skeletal,"IRF6, VWS, LPS, PIT, PPS, OFC6"
Cancer,"CDKN2A, MTS1, P16, MLM, CMM2"
Metabolic,"UMPS, OPRT"
Cardiovascular,"SLC6A2, NAT1, NET1"
Bone,"COL11A2, STL3, DFNA13"
Bone,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO"
Connective tissue,"ENPP1, PDNP1, NPPS, M6S1, PCA1"
Connective tissue,"MATN3, EDM5, HOA"
Connective tissue,"FRZB, FRZB1, SRFP3"
Connective tissue,"ASPN, PLAP1"
Connective tissue,COL2A1
Bone,COL1A2
Bone,COL1A1
Bone,COL1A1
Bone,COL1A1
Bone,COL1A1
Bone,"TNFRSF11A, RANK, ODFR, OFE"
Bone,"MMP2, CLG4A, MONA"
Bone,"LRP5, BMND1, LRP7, LR3, OPPG, VBCH2"
Bone,"CLCN7, CLC7, OPTA2"
Bone,"OSTM1, GL"
Bone,"CLCN7, CLC7, OPTA2"
Bone,"TCIRG1, TIRC7, OC116, OPTB1"
Bone,"LEMD3, MAN1"
Bone,COL1A1
Bone,"LRP5, BMND1, LRP7, LR3, OPPG, VBCH2"
Bone,"CALCA, CALC1"
Bone,"SLC17A2, NPT2"
Bone,COL1A2
Bone,"CALCR, CRT"
Bone,"LRP5, BMND1, LRP7, LR3, OPPG, VBCH2"
Bone,RIL
Cancer,"TP53, P53, LFS1"
Cancer,"CHEK2, RAD53, CHK2, CDS1, LFS2"
multiple,"FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS"
multiple,"FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS"
Cancer,"BRCA1, PSCP"
Cancer,"MSH2, COCA1, FCC1, HNPCC1"
Cancer,PIK3CA
Cancer,"MSH6, GTBP, HNPCC5"
Cancer,"ERBB2, NGL, NEU, HER2"
Cancer,"CDH1, UVO"
Cancer,"RRAS2, TC21"
Cancer,CTNNB1
Endocrine,"FSHR, ODG1"
Endocrine,"BMP15, GDF9B, ODG2"
Endocrine,"FSHR, ODG1"
Cancer,"FSHR, ODG1"
Neurological,EIF2B2
Neurological,EIF2B4
Neurological,"EIF2B5, LVWM, CACH, CLE"
Dermatological,"KRT17, PC2, PCHC1"
Dermatological,"KRT6B, PC2"
Dermatological,KRT16
Dermatological,KRT6A
Bone,"TNFRSF11B, OPG, OCIF"
Bone,"SQSTM1, P62, PDB3"
Bone,"TNFRSF11A, RANK, ODFR, OFE"
Neurological,"MAPT, MTBT1, DDPAC, MSTD"
multiple,"GLI3, PAPA, PAPB, ACLS"
Dermatological,KRT16
Dermatological,KRT16
Gastrointestinal,IPF1
Cancer,"ARMET, ARP"
Cancer,"BRCA2, FANCD1"
Cancer,"TP53, P53, LFS1"
Cancer,"MADH4, DPC4, SMAD4, JIP"
Cancer,"CDKN2A, MTS1, P16, MLM, CMM2"
Cancer,"ACVR1B, ACVRLK4, ALK4"
Cancer,"STK11, PJS, LKB1"
Cancer,"KRAS2, RASK2"
Cancer,"RBBP8, RIM"
Gastrointestinal,"PRSS1, TRY1"
Gastrointestinal,"SPINK1, PSTI, PCTT, TATI"
Gastrointestinal,"CFTR, ABCC7, CF, MRP7"
Cancer,"BRCA1, PSCP"
multiple,"CTSC, CPPI, PALS, PLS, HMS"
Cancer,"SDHB, SDH1, SDHIP"
Cancer,"SDHD, PGL1"
Cancer,"SDHD, PGL1"
Cancer,"SDHC, PGL3"
Cancer,"SDHD, PGL1"
Muscular,"SCN4A, HYPP, NAC1A"
Cancer,MEN1
Cancer,"HRPT2, C1orf28"
Cancer,"HRPT2, C1orf28"
Skeletal,"MSX2, CRS2, HOX8"
Skeletal,"ALX4, PFM2, FPP"
Skeletal,"MSX2, CRS2, HOX8"
multiple,"RASA1, GAP, CMAVM, PKWS"
Neurological,"NR4A2, NURR1, NOT, TINUR"
Neurological,SNCAIP
Neurological,"TBP, SCA17"
Neurological,"SNCA, NACP, PARK1, PARK4"
Neurological,"DJ1, PARK7"
Neurological,"LRRK2, PARK8"
Neurological,"PINK1, PARK6"
Neurological,"UCHL1, PARK5"
Neurological,"SNCA, NACP, PARK1, PARK4"
Neurological,"PRKN, PARK2, PDJ"
Neurological,DBH
Neurological,NDUFV2
Hematological,PIGA
Neurological,"MR1, TAHCCP2, KIPP1184, BRP17, PNKD, FPD1, PDC, DYT8"
Neurological,"ARX, ISSX, PRTS, MRXS1, MRX36, MRX54"
Neurological,"SOX10, WS4"
Hematological,"LBR, PHA"
Neurological,"PLP1, PMD"
Neurological,"GJA12, CX47, PMLDAR"
"Ear,Nose,Throat","SLC26A4, PDS, DFNB4"
Endocrine,"AR, DHTR, TFM, SBMA, KD, SMAX1"
Immunological,"TNFRSF1A, TNFR1, TNFAR, FPF"
"Ear,Nose,Throat","CTSC, CPPI, PALS, PLS, HMS"
Neurological,"ARFGEF2, BIG2"
multiple,"PEX6, PXAAA1, PAF2"
multiple,"PEX6, PXAAA1, PAF2"
multiple,PEX12
Metabolic,"KCNJ11, BIR, PHHI"
Developmental,"AMH, MIF"
Developmental,"AMHR2, AMHR"
Developmental,"PAX6, AN2, MGDA"
Developmental,"CYP1B1, GLC3A"
Cancer,"STK11, PJS, LKB1"
Skeletal,"FGFR1, FLT2, KAL2"
Skeletal,"FGFR2, BEK, CFD1, JWS"
Metabolic,"PAH, PKU1"
Metabolic,"QDPR, DHPR"
Metabolic,PTS
"Ear,Nose,Throat","TAS2R38, T2R61, PTC"
Cancer,"SDHD, PGL1"
Cancer,VHL
Cancer,"SDHB, SDH1, SDHIP"
Metabolic,PHGDH
Metabolic,PRPS1
Metabolic,PHKB
Metabolic,PSP
Neurological,"PSEN1, AD3"
Dermatological,"KIT, PBT"
Dermatological,"MATP, AIM1"
Cancer,"PRKAR1A, TSE1, CNC1, CAR"
Ophthamological,"CRB1, RP12"
Cancer,CTNNB1
Cancer,"GNAI2, GNAI2B, GIP"
Cancer,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO"
Cancer,"THRA, ERBA1, THRA1"
multiple,GLI2
Endocrine,"POU1F1, PIT1"
Endocrine,PROP1
Endocrine,"HESX1, RPX"
Endocrine,LHX3
Cancer,"PRKCA, PKCA"
Unclassified,NOS3
Metabolic,"STS, ARSC1, ARSC, SSDD"
Hematological,"PLI, SERPINF2"
Hematological,PLG
Hematological,"PLA2G7, PAFAH"
Hematological,"P2RY12, P2Y12"
Hematological,"RUNX1, CBFA2, AML1"
Hematological,CD36
Respiratory,"SFTPC, SFTP2"
Respiratory,"FLCN, BHD"
Renal,"FCYT, PKHD1, ARPKD"
Renal,PKD1
Renal,"PKD2, PKD4"
Renal,PKDTS
Gastrointestinal,"PRKCSH, G19P1, PCLD"
Gastrointestinal,SEC63
Hematological,VHL
Hematological,JAK2
Skeletal,"GLI3, PAPA, PAPB, ACLS"
Skeletal,"GLI3, PAPA, PAPB, ACLS"
Neurological,"GPR56, TM7XN1, BFPP"
Cancer,"BMPR1A, ACVRLK3, ALK3"
Cancer,"MADH4, DPC4, SMAD4, JIP"
multiple,"IRF6, VWS, LPS, PIT, PPS, OFC6"
Neurological,COL4A1
Metabolic,ALAD
Metabolic,"HMBS, PBGD, UPS"
Metabolic,"HMBS, PBGD, UPS"
Metabolic,UROS
Metabolic,UROD
Metabolic,UROD
Metabolic,"HFE, HLA-H, HFE1"
Metabolic,PPOX
Neurological,"MECP2, RTT, PPMX, MRX16, MRX79"
multiple,NDN
multiple,SNRPN
Developmental,LHCGR
Cardiovascular,"STOX1, PEE4"
Cardiovascular,EPHX1
Cardiovascular,"AGT, SERPINA8"
Hematological,"KLKB1, KLK3"
Neurological,MCPH1
Renal,"DIAPH2, DIA, POF2"
Renal,"FOXL2, BPES, BPES1, PFRK, POF3"
Neurological,"ALS2, ALSJ, PLSJ, IAHSP"
Neurological,"PRNP, PRIP"
Ophthamological,"C10orf2, TWINKLE, PEO1, PEO"
Ophthamological,"POLG, POLG1, POLGA, PEO"
Ophthamological,"SLC25A4, ANT1, T1, PEO3"
Metabolic,"CYP2C, CYP2C19"
Endocrine,MEN1
Connective tissue,PEPD
Immunological,"PFC, PFD"
Metabolic,PCCA
Metabolic,PCCB
Cancer,"RNASEL, RNS4, PRCA1, HPC1"
Cancer,"BRCA2, FANCD1"
Cancer,"PTEN, MMAC1"
Cancer,"AR, DHTR, TFM, SBMA, KD, SMAX1"
Cancer,"CHEK2, RAD53, CHK2, CDS1, LFS2"
Cancer,MSR1
Cancer,"EPHB2, EPHT3, DRT, ERK"
Cancer,"KLF6, COPEB, BCD1, ZF9"
Cancer,"MAD1L1, TXBP181"
Cancer,"AR, DHTR, TFM, SBMA, KD, SMAX1"
Cancer,ATBF1
Cancer,"ELAC2, HPC2"
Cancer,MXI1
Hematological,PROS1
Renal,"CLCN5, CLCK2, NPHL2, DENTS"
Metabolic,"FECH, FCE"
Metabolic,"FECH, FCE"
multiple,"ARX, ISSX, PRTS, MRXS1, MRX36, MRX54"
Skeletal,"COMP, EDM1, MED, PSACH"
Developmental,"HSD17B3, EDH17B3"
Developmental,LHCGR
Endocrine,SCNN1A
Endocrine,SCNN1B
Endocrine,"SCNN1G, PHA1"
Endocrine,"NR3C2, MLR, MCR"
Endocrine,"WNK4, PRKWNK4, PHA2B"
Endocrine,"WNK1, PRKWNK1, KDP, PHA2C"
Endocrine,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO"
Endocrine,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO"
Unclassified,SRD5A2
Bone,"CYP27B1, PDDR, VDD1"
Connective tissue,"ABCC6, ARA, ABC34, MLP1, PXE"
Connective tissue,"ABCC6, ARA, ABC34, MLP1, PXE"
Dermatological,PSORS6
Dermatological,"CARD15, NOD2, IBD1, CD, ACUG, PSORAS1"
Respiratory,CSF2RB
Respiratory,"SFTPC, SFTP2"
Respiratory,"SFTPB, SFTB3"
Respiratory,"SFTPC, SFTP2"
Respiratory,"SFTPA1, SFTP1"
Cardiovascular,"BMPR2, PPH1"
Skeletal,CTSK
Developmental,NOS1
Dermatological,"PSTPIP1, PSTPIP, CD2BP1, PAPAS"
Hematological,SPTA1
Metabolic,PC
Metabolic,"PDHA1, PHE1A"
Metabolic,PDHB
multiple,INSR
multiple,"HOXA11, HOX1I"
multiple,"RECQL4, RTS, RECQ4"
Immunological,"CX3CR1, GPR13, V28"
multiple,"TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS"
Dermatological,MC1R
Neurological,"PEX7, RCDP1"
Neurological,"PHYH, PAHX"
Neurological,"PEX1, ZWS1"
Neurological,PEX26
Neurological,"PXMP3, PAF1, PMP35, PEX2"
Cancer,"FLCN, BHD"
Cancer,"TRC8, RCA1, HRCA1"
Cancer,OGG1
Cancer,"PRCC, RCCP1"
Cancer,TFE3
Cancer,MET
Cancer,VHL
Renal,"SLC5A2, SGLT2"
Renal,PAX2
Renal,"SLC4A1, AE1, EPB3"
Renal,"ATP6V0A4, ATP6N1B, VPP2, RTA1C, RTADR"
Renal,CA2
Renal,"SLC4A4, NBC1, KNBC, SLC4A5"
Renal,"ATP6B1, VPP3"
Renal,"ACE, DCP1, ACE1"
Renal,"AGTR1, AGTR1A, AT2R1"
Renal,"AGT, SERPINA8"
Renal,REN
Neurological,"PQBP1, NPW38, SHS, MRX55, MRXS3, RENS1, MRXS8"
Neurological,OPRM1
Cardiovascular,"ADRB1, ADRB1R, RHR"
Dermatological,"ZMPSTE24, FACE1, STE24, MADB"
Ophthamological,"NRL, D14S46E, RP27"
Ophthamological,"PROM1, PROML1, AC133"
Ophthamological,"C1QTNF5, CTRP5, LORD"
Ophthamological,LRAT
Ophthamological,IMPDH1
Ophthamological,"PRPF31, PRP31"
Ophthamological,"RP1, ORP1"
Ophthamological,"CRB1, RP12"
Ophthamological,"PRPF8, PRPC8, RP13"
Ophthamological,"TULP1, RP14"
Ophthamological,"CA4, RP17"
Ophthamological,"HPRP3, RP18"
Ophthamological,"ABCA4, ABCR, STGD1, FFM, RP19"
Ophthamological,"RPE65, RP20"
Ophthamological,RP2
Ophthamological,CERKL
Ophthamological,"NRL, D14S46E, RP27"
Ophthamological,"FSCN2, RFSN"
Ophthamological,"RPGR, RP3, CRD, RP15, COD1"
Ophthamological,"RHO, RP4, OPN2"
Ophthamological,"RDS, RP7, PRPH2, PRPH, AVMD, AOFMD"
Ophthamological,RP9
Ophthamological,RLBP1
Ophthamological,USH2A
Ophthamological,RGR
Ophthamological,"CNGB1, CNCG3L, CNCG2"
Ophthamological,"CNGA1, CNCG1"
Ophthamological,"PDE6A, PDEA"
Ophthamological,"PDE6B, PDEB, CSNB3"
Ophthamological,RGR
Ophthamological,"RHO, RP4, OPN2"
Ophthamological,"ROM1, ROSP1"
Ophthamological,"RDS, RP7, PRPH2, PRPH, AVMD, AOFMD"
Ophthamological,"AIPL1, LCA4"
Ophthamological,"NR2E3, PNR, ESCS"
Ophthamological,"CRX, CORD2, CRD"
Ophthamological,MERTK
Ophthamological,"RPGR, RP3, CRD, RP15, COD1"
Ophthamological,"RPGR, RP3, CRD, RP15, COD1"
Ophthamological,"RDS, RP7, PRPH2, PRPH, AVMD, AOFMD"
Ophthamological,RLBP1
Cancer,RB1
Ophthamological,RBP4
Ophthamological,"RS1, XLRS1"
Neurological,"MECP2, RTT, PPMX, MRX16, MRX79"
Neurological,"CDKL5, STK9"
Neurological,"MECP2, RTT, PPMX, MRX16, MRX79"
Cancer,"SMARCB1, SNF5, INI1, RDT"
Cancer,"SMARCB1, SNF5, INI1, RDT"
Cancer,"SLC22A1L, BWSCR1A, IMPT1"
Cancer,"FOXO1A, FKHR"
Cancer,"PAX3, WS1, HUP2, CDHS"
Cancer,PAX7
Connective tissue,"IL10, CSIF"
Connective tissue,"MHC2TA, C2TA"
Connective tissue,NFKBIL1
Connective tissue,"PADI4, PADI5, PAD"
Connective tissue,"PTPN8, PEP, PTPN22, LYP"
Connective tissue,"RUNX1, CBFA2, AML1"
Connective tissue,"SLC22A4, OCTN1"
Connective tissue,MIF
multiple,"PEX7, RCDP1"
multiple,"AGPS, ADHAPS"
Hematological,"RHAG, RH50A"
Hematological,RHD
Hematological,RHCE
Metabolic,"RPIA, RPI"
Bone,CYP2R1
Bone,VDR
Bone,VDR
multiple,"FOXC1, FKHL7, FREAC3"
multiple,"PITX2, IDG2, RIEG1, RGS, IGDS2"
Ophthamological,"PITX2, IDG2, RIEG1, RGS, IGDS2"
Muscular,"CAV3, LGMD1C"
Developmental,ESCO2
multiple,"ROR2, BDB1, BDB, NTRKR2"
Developmental,WNT4
multiple,"RECQL4, RTS, RECQ4"
multiple,"MPZ, CMT1B, CMTDI3, CHM, DSS"
multiple,"PMP22, CMT1A, CMT1E, DSS"
multiple,"CREBBP, CBP, RSTS"
multiple,EP300
Developmental,"FGFR2, BEK, CFD1, JWS"
Developmental,"TWIST, ACS3, SCS"
Developmental,"TWIST, ACS3, SCS"
Cancer,"HMGA2, HMGIC, BABL, LIPO"
Metabolic,"SLC17A5, SIASD, SLD"
Metabolic,HEXB
Metabolic,"SGSH, MPS3A, SFMD"
Metabolic,NAGLU
Immunological,"CARD15, NOD2, IBD1, CD, ACUG, PSORAS1"
Immunological,BTNL2
Immunological,HLA-DR1B
Cancer,"SSX1, SSRC"
Cancer,SSX2
Immunological,"ACE, DCP1, ACE1"
Connective tissue,"SMARCAL1, HARP, SIOD"
Metabolic,NAGA
Metabolic,NAGA
Neurological,EMX2
Psychiatric,DISC1
Psychiatric,TRAR4
Psychiatric,"APP, AAA, CVAP, AD1"
Psychiatric,COMT
Psychiatric,DISC1
Psychiatric,HTR2A
Psychiatric,"RTN4R, NOGOR"
Psychiatric,SYN2
Psychiatric,"EPN4, EPNR, KIAA0171, SCZD1"
Psychiatric,"PRODH, PRODH2, SCZD4"
Cancer,NF2
multiple,"HSPG2, PLC, SJS, SJA, SJS1"
Immunological,"JAK3, JAKL"
Skeletal,SOST
Nutritional,"GULOP, GULO"
Hematological,"APOE, AD2"
Psychiatric,HTR2A
Hematological,"MYH9, MHA, FTNS, DFNA17"
Developmental,"ATR, FRP1, SCKL"
Neurological,"TH, TYH"
Neurological,"SCN2A1, SCN2A"
Neurological,"SCN2A1, SCN2A"
Immunological,"ZAP70, SRK, STD"
Dermatological,"TGM1, ICR2, LI1"
Connective tissue,"PAPSS2, ATPSK2"
Renal,"NPHP1, NPH1, SLSN1"
Renal,"NPHP4, SLSN4"
Renal,"IQCB1, NPHP5, KIAA0036"
Ophthamological,"POLG, POLG1, POLGA, PEO"
Metabolic,SPR
Immunological,"CASP12, CASP12P1"
Immunological,"TNF, TNFA"
multiple,"HESX1, RPX"
Renal,USP26
Immunological,"DCLRE1C, ARTEMIS, SCIDA"
Immunological,RAG1
Immunological,RAG2
Immunological,ADA
Immunological,"PTPRC, CD45, LCA"
Immunological,IL7R
Immunological,"CD3D, T3D"
Immunological,"IL2RG, SCIDX1, SCIDX, IMD4"
Unclassified,"FTZF1, FTZ1, SF1"
Cancer,BCL10
multiple,EDN3
Skeletal,GHR
Skeletal,GHR
Skeletal,"SHOX, GCFX, SS, PHOG"
Skeletal,SHOXY
Skeletal,LHX4
multiple,"FBN1, MFS1, WMS"
multiple,"SBDS, SDS"
Metabolic,"SLC17A5, SIASD, SLD"
Metabolic,"NEU1, NEU, SIAL1"
Metabolic,"NEU1, NEU, SIAL1"
Metabolic,"GNE, GLCNE, IBM2, DMRV, NM"
Hematological,HBB
Cardiovascular,"SCN5A, LQT3, IVF, HB1, SSS1"
Neurological,"BSCL2, SPG17"
multiple,"GPC3, SDYS, SGBS1"
Metabolic,ABCG5
Metabolic,ABCG8
Developmental,NODAL
Developmental,"DNAH11, DNAHC11"
Metabolic,"ALDH3A2, ALDH10, SLS, FALDH"
Dermatological,"DSP, KPPS2, PPKS2"
Metabolic,"NAT2, AAC2"
Neurological,"ARHGEF10, KIAA0294"
Skeletal,TBX4
Skeletal,COL2A1
multiple,"ATRX, XH2, XNP, MRXS3, SHS"
multiple,"DHCR7, SLOS"
multiple,"RAI1, SMCR, SMS"
Skeletal,"DYM, FLJ90130, DMC, SMC"
Skeletal,"SHH, HPE3, HLP3, SMMCI"
Endocrine,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO"
Ophthamological,"TIMP3, SFD"
Developmental,"NSD1, ARA267, STO"
Neurological,"SACS, ARSACS"
Neurological,"ALS2, ALSJ, PLSJ, IAHSP"
Neurological,"KIF5A, NKHC, SPG10"
Neurological,"HSPD1, SPG13, HSP60"
Neurological,"PLP1, PMD"
Neurological,SPG3A
Neurological,"SPG4, SPAST"
Neurological,"NIPA1, SPG6"
Neurological,"PGN, SPG7, CMAR, CAR"
Immunological,"CEBPE, CRP1"
Neurological,"FOXP2, SPCH1, TNRC10, CAGH44"
Renal,"DAZL, DAZH, SPGYLA"
Hematological,SPTB
Hematological,"ANK1, SPH2"
Hematological,"SLC4A1, AE1, EPB3"
Hematological,EPB42
Hematological,SPTA1
Developmental,"MTHFD, MTHFC"
Developmental,MTR
Developmental,MTRR
Muscular,"AR, DHTR, TFM, SBMA, KD, SMAX1"
Muscular,"VAPB, VAPC, ALS8"
Muscular,"SMN1, SMA1, SMA2, SMA3, SMA4"
Muscular,"SMN1, SMA1, SMA2, SMA3, SMA4"
Muscular,"SMN1, SMA1, SMA2, SMA3, SMA4"
Muscular,"SMN1, SMA1, SMA2, SMA3, SMA4"
Muscular,"BSCL2, SPG17"
Muscular,"GARS, SMAD1, CMT2D"
Muscular,HEXB
Muscular,"IGHMBP2, SMUBP2, CATF1, SMARD1"
Neurological,"ATXN10, SCA10"
Neurological,"ATXN1, ATX1, SCA1"
Neurological,PPP2R2B
Neurological,"PRKCG, PKCC, PKCG, SCA14"
Neurological,"TBP, SCA17"
Neurological,"ATXN2, ATX2, SCA2"
Neurological,SCA25
Neurological,"FGF14, FHF4, SCA27"
Neurological,PLEKHG4
Neurological,"CACNA1A, CACNL1A4, SCA6"
Neurological,"ATXN7, SCA7, OPCA3"
Neurological,SCA8
Neurological,TDP1
Skeletal,"SHFM3, DAC"
Skeletal,"TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS"
Skeletal,"FLNB, SCT, AOI"
Skeletal,"DLL3, SCDO1"
Skeletal,MESP2
Skeletal,"MATN3, EDM5, HOA"
Skeletal,"AGC1, CSPG1, MSK16, SEDK"
Skeletal,"CHST3, C6ST, C6ST1"
Skeletal,"SEDL, SEDT"
Skeletal,"WISP3, PPAC, PPD"
Skeletal,COL10A1
Cancer,"TNFRSF6, APT1, FAS, CD95, ALPS1A"
Cancer,ING1
Cancer,"TNFRSF10B, DR5, TRAILR2"
multiple,"NOG, SYM1, SYNS1"
Ophthamological,"ABCA4, ABCR, STGD1, FFM, RP19"
Ophthamological,"ELOVL4, ADMD, STGD2, STGD3"
Neurological,"GLRA1, STHE"
Neurological,"GLRA1, STHE"
Unclassified,STAT1
Metabolic,HMGCR
Dermatological,"KRT17, PC2, PCHC1"
Cancer,"ZNF198, SCLL, RAMP, FIM"
Dermatological,HLA-B
multiple,COL2A1
multiple,"COL11A1, STL2"
multiple,"COL11A2, STL3, DFNA13"
Cancer,"KRAS2, RASK2"
Cardiovascular,"PDE4D, DPDE3, STRK1"
Cardiovascular,"ALOX5AP, FLAP"
multiple,"LIFR, STWS, SWS, SJS2"
Neurological,"DCX, DBCN, LISX"
Neurological,"PAFAH1B1, LIS1"
Metabolic,SSADH
Metabolic,SI
Unclassified,"TSPYL1, TSPYL, SIDDT"
Metabolic,SUOX
Unclassified,SOD3
Neurological,"MAPT, MTBT1, DDPAC, MSTD"
Neurological,"MAPT, MTBT1, DDPAC, MSTD"
Cardiovascular,ELN
Respiratory,"ABCA3, ABC3"
Respiratory,"SFTPC, SFTP2"
multiple,"ATRX, XH2, XNP, MRXS3, SHS"
Unclassified,"CFTR, ABCC7, CF, MRP7"
Skeletal,"NOG, SYM1, SYNS1"
Skeletal,"GJA1, CX43, ODDD, SDTY3, ODOD"
multiple,"NOG, SYM1, SYNS1"
Skeletal,FBLN1
Skeletal,"HOXD13, HOX4I, SPD"
Skeletal,"HOXD13, HOX4I, SPD"
Immunological,"TNFSF6, APT1LG1, FASL"
Immunological,"DNASE1, DNL1"
Immunological,"PTPN8, PEP, PTPN22, LYP"
Immunological,"PDCD1, SLEB2"
Skeletal,MCM6
Metabolic,"ABCA1, ABC1, HDLDT1, TGD"
Skeletal,"NOG, SYM1, SYNS1"
Neurological,"MAPT, MTBT1, DDPAC, MSTD"
Metabolic,"HEXA, TSD"
Cancer,BAX
Immunological,WHN
Cancer,"ATM, ATA, AT1"
Unclassified,DAD1
multiple,"WNT3, INT4"
Cardiovascular,"JAG1, AGS, AHD"
Cardiovascular,"ZFPM2, FOG2"
Cardiovascular,"NKX2E, CSX"
Hematological,HBA2
Hematological,HBB
Hematological,HBD
Hematological,HBD
Hematological,LCRB
Hematological,HBA1
Hematological,HBB
Skeletal,"FGFR3, ACH"
Hematological,"SLC19A2, THTR1"
Hematological,JAK2
Hematological,"THPO, MGDF, MPLLG, TPO"
Hematological,"FLJ14813, THC2"
Hematological,"MPL, TPOR, MPLV"
Hematological,"WAS, IMD2, THC"
Hematological,"WAS, IMD2, THC"
Hematological,F5
Hematological,F5
Hematological,"HCF2, HC2, SERPIND1"
Hematological,HRG
Hematological,PROC
Hematological,"THBD, THRM"
Hematological,FGB
Hematological,FGG
Hematological,CBS
Hematological,"ADAMTS13, VWFCP, TTP"
Hematological,"MPL, TPOR, MPLV"
Metabolic,"DPYD, DPD"
Cancer,TSHR
Cancer,"TP53, P53, LFS1"
Cancer,"MINPP1, HIPER1"
Cancer,"PTEN, MMAC1"
Cancer,HRAS
Cancer,"GOLGA5, RFG5, PTC5"
Cancer,"NCOA4, ELE1, PTC3"
Cancer,"PCM1, PTC4"
Cancer,"PRKAR1A, TSE1, CNC1, CAR"
Cancer,"TIF1G, RFG7, PTC7"
Cancer,"TRIM24, TIF1, TIF1A, PTC6"
Endocrine,"TPO, TPX"
Endocrine,"THRB, ERBA2, THR1"
Endocrine,"THRB, ERBA2, THR1"
Endocrine,"CACNA1S, CACNL1A3, CCHL1A3"
Endocrine,TRHR
Hematological,TBG
multiple,"MITF, WS2A"
multiple,"CACNA1C, CACNL1A1, CCHL1A1, TS"
Dermatological,COL7A1
Unclassified,CYP2C9
Endocrine,"TPO, TPX"
multiple,"SALL1, HSAL1, TBS"
multiple,"SALL1, HSAL1, TBS"
Metabolic,TALDO1
Hematological,"TCN2, TC2"
Dermatological,COL7A1
Developmental,"CFC1, CRYPTIC, HTX2"
Developmental,"THRAP2, PROSIT240, TRAP240L, KIAA1025"
Developmental,"TCOF1, MFD1"
Neurological,"HS1BP3, FLJ14249, ETM2"
multiple,"DLX3, TDO"
Developmental,TRPS1
Developmental,TRPS1
Dermatological,"ERCC3, XPB"
Dermatological,"ERCC2, EM9"
Dermatological,"TGF2H5, TTDA, TFB5, C6orf175"
Dermatological,"TTDN1, C7orf11, ABHS"
Metabolic,"HADHA, MTPA"
Metabolic,HADHB
multiple,MYH8
Gastrointestinal,"SPINK1, PSTI, PCTT, TATI"
Neurological,SPG20
multiple,IFNG
Respiratory,IFNGR1
Respiratory,IFNG
multiple,"TSC1, LAM"
multiple,"TSC2, LAM"
Cancer,"APC, GS, FPC"
Cancer,"MLH1, COCA2, HNPCC2"
Cancer,"PMS2, PMSL2, HNPCC4"
Unclassified,"FSHR, ODG1"
Metabolic,FAH
Metabolic,TAT
Metabolic,HPD
Muscular,"COL6A1, OPLL"
Muscular,COL6A3
Muscular,COL6A2
multiple,TBX3
Psychiatric,"TPH2, NTPH"
Dermatological,KRT1
Metabolic,APRT
Metabolic,"SLC17A2, NPT2"
multiple,"MYO7A, USH1B, DFNB2, DFNA11"
multiple,"USH1C, DFNB18"
multiple,"CDH23, USH1D"
multiple,"PCDH15, DFNB23"
multiple,"SANS, USH1G"
multiple,USH2A
multiple,"USH3A, USH3"
multiple,"MASS1, VLGR1, KIAA0686, FEB4, USH2C"
Cancer,"HMGA2, HMGIC, BABL, LIPO"
Dermatological,MC1R
Unclassified,"LRP5, BMND1, LRP7, LR3, OPPG, VBCH2"
Developmental,"IRF6, VWS, LPS, PIT, PPS, OFC6"
multiple,"PTEN, MMAC1"
multiple,"TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR"
Cardiovascular,"TEK, TIE2, VMCM"
Cardiovascular,"SERPINA10, ZPI"
Cardiovascular,"SCN5A, LQT3, IVF, HB1, SSS1"
Cardiovascular,"GNAI2, GNAI2B, GIP"
Cardiovascular,CASQ2
Cardiovascular,"RYR2, VTSIP"
Skeletal,"HOXD10, HOX4D"
Immunological,"FCGR3A, CD16, IGFR3"
Immunological,"OAS1, OIAS"
Developmental,"CYP19A1, CYP19, ARO"
Hematological,"VKORC1, VKOR, VKCFD2, FLJ00289"
Hematological,GGCX
Ophthamological,VMD2
